plannedVisitAccession,studyAccession,endRule,maxStartDay,minStartDay,name,orderNumber,startRule
PV9264,SDY1733,-,0.0,0.0,Week 0,1,
PV9299,SDY1733,,7.0,7.0,Week 1,2,
PV9300,SDY1733,,14.0,14.0,Week 2,3,
PV9301,SDY1733,,21.0,21.0,Week 3,4,
PV9302,SDY1733,,28.0,28.0,Week 4,5,
PV9303,SDY1733,,42.0,42.0,Week 6,6,
PV9304,SDY1733,,56.0,56.0,Week 8,7,
PV9305,SDY1733,,63.0,63.0,Week 9,8,
PV9306,SDY1733,,70.0,70.0,Week 10,9,
PV9307,SDY1733,,84.0,84.0,Week 12,10,
PV9308,SDY1733,,91.0,91.0,Week 13,11,
PV9309,SDY1733,,126.0,126.0,Week 18,12,
