icd10_code,meaning,autoimmune_block,block_label
D86,D86 Sarcoidosis,D86,Sarcoidosis
D860,D86.0 Sarcoidosis of lung,D86,Sarcoidosis
D861,D86.1 Sarcoidosis of lymph nodes,D86,Sarcoidosis
D862,D86.2 Sarcoidosis of lung with sarcoidosis of lymph nodes,D86,Sarcoidosis
D863,D86.3 Sarcoidosis of skin,D86,Sarcoidosis
D868,D86.8 Sarcoidosis of other and combined sites,D86,Sarcoidosis
D869,"D86.9 Sarcoidosis, unspecified",D86,Sarcoidosis
E05,E05 Thyrotoxicosis [hyperthyroidism],E05,Graves' disease / thyrotoxicosis
E050,E05.0 Thyrotoxicosis with diffuse goitre,E05,Graves' disease / thyrotoxicosis
E051,E05.1 Thyrotoxicosis with toxic single thyroid nodule,E05,Graves' disease / thyrotoxicosis
E052,E05.2 Thyrotoxicosis with toxic multinodular goitre,E05,Graves' disease / thyrotoxicosis
E053,E05.3 Thyrotoxicosis from ectopic thyroid tissue,E05,Graves' disease / thyrotoxicosis
E054,E05.4 Thyrotoxicosis factitia,E05,Graves' disease / thyrotoxicosis
E055,E05.5 Thyroid crisis or storm,E05,Graves' disease / thyrotoxicosis
E058,E05.8 Other thyrotoxicosis,E05,Graves' disease / thyrotoxicosis
E059,"E05.9 Thyrotoxicosis, unspecified",E05,Graves' disease / thyrotoxicosis
E06,E06 Thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E060,E06.0 Acute thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E061,E06.1 Subacute thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E062,E06.2 Chronic thyroiditis with transient thyrotoxicosis,E06,Thyroiditis (incl. Hashimoto's)
E063,E06.3 Autoimmune thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E064,E06.4 Drug-induced thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E065,E06.5 Other chronic thyroiditis,E06,Thyroiditis (incl. Hashimoto's)
E069,"E06.9 Thyroiditis, unspecified",E06,Thyroiditis (incl. Hashimoto's)
E10,E10 Insulin-dependent diabetes mellitus,E10,Type 1 diabetes mellitus
E100,E10.0 With coma,E10,Type 1 diabetes mellitus
E101,E10.1 With ketoacidosis,E10,Type 1 diabetes mellitus
E102,E10.2 With renal complications,E10,Type 1 diabetes mellitus
E103,E10.3 With ophthalmic complications,E10,Type 1 diabetes mellitus
E104,E10.4 With neurological complications,E10,Type 1 diabetes mellitus
E105,E10.5 With peripheral circulatory complications,E10,Type 1 diabetes mellitus
E106,E10.6 With other specified complications,E10,Type 1 diabetes mellitus
E107,E10.7 With multiple complications,E10,Type 1 diabetes mellitus
E108,E10.8 With unspecified complications,E10,Type 1 diabetes mellitus
E109,E10.9 Without complications,E10,Type 1 diabetes mellitus
G35,G35 Multiple sclerosis,G35,Multiple sclerosis
G61,G61 Inflammatory polyneuropathy,G61,Inflammatory polyneuropathy (incl. Guillain-Barre)
G610,G61.0 Guillain-Barre syndrome,G61,Inflammatory polyneuropathy (incl. Guillain-Barre)
G611,G61.1 Serum neuropathy,G61,Inflammatory polyneuropathy (incl. Guillain-Barre)
G618,G61.8 Other inflammatory polyneuropathies,G61,Inflammatory polyneuropathy (incl. Guillain-Barre)
G619,"G61.9 Inflammatory polyneuropathy, unspecified",G61,Inflammatory polyneuropathy (incl. Guillain-Barre)
G70,G70 Myasthenia gravis and other myoneural disorders,G70,Myasthenia gravis and other myoneural disorders
G700,G70.0 Myasthenia gravis,G70,Myasthenia gravis and other myoneural disorders
G701,G70.1 Toxic myoneural disorders,G70,Myasthenia gravis and other myoneural disorders
G702,G70.2 Congenital and developmental myasthenia,G70,Myasthenia gravis and other myoneural disorders
G708,G70.8 Other specified myoneural disorders,G70,Myasthenia gravis and other myoneural disorders
G709,"G70.9 Myoneural disorder, unspecified",G70,Myasthenia gravis and other myoneural disorders
K50,K50 Crohn's disease [regional enteritis],K50,Crohn's disease
K500,K50.0 Crohn's disease of small intestine,K50,Crohn's disease
K501,K50.1 Crohn's disease of large intestine,K50,Crohn's disease
K508,K50.8 Other Crohn's disease,K50,Crohn's disease
K509,"K50.9 Crohn's disease, unspecified",K50,Crohn's disease
