encoding_id	code_id	parent_id	value	meaning	selectable	showcase_order
2	999999999	0	0	Other job (free text entry)	1	9999
2	1	0	1	Managers and Senior Officials	0	0
2	2	0	2	Professional Occupations	0	0
2	3	0	3	Associate Professional and Technical Occupations	0	0
2	4	0	4	Administrative and Secretarial Occupations	0	0
2	5	0	5	Skilled Trades Occupations	0	0
2	6	0	6	Personal Service Occupations	0	0
2	7	0	7	Sales and Customer Service Occupations	0	0
2	8	0	8	Process, Plant and Machine Operatives	0	0
2	9	0	9	Elementary Occupations	0	0
2	11	1	11	Corporate Managers	0	0
2	12	1	12	Managers And Proprietors In Agriculture And Services	0	0
2	21	2	21	Science And Technology Professionals	0	0
2	22	2	22	Health Professionals	0	0
2	23	2	23	Teaching And Research Professionals	0	0
2	24	2	24	Business And Public Service Professionals	0	0
2	31	3	31	Science And Technology Associate Professionals	0	0
2	32	3	32	Health And Social Welfare Associate Professionals	0	0
2	33	3	33	Protective Service Occupations	0	0
2	34	3	34	Culture, Media And Sports Occupations	0	0
2	35	3	35	Business And Public Service Associate Professionals	0	0
2	41	4	41	Administrative Occupations	0	0
2	42	4	42	Secretarial And Related Occupations	0	0
2	51	5	51	Skilled Agricultural Trades	0	0
2	52	5	52	Skilled Metal And Electrical Trades	0	0
2	53	5	53	Skilled Construction And Building Trades	0	0
2	54	5	54	Textiles, Printing And Other Skilled Trades	0	0
2	61	6	61	Caring Personal Service Occupations	0	0
2	62	6	62	Leisure And Other Personal Service Occupations	0	0
2	71	7	71	Sales Occupations	0	0
2	72	7	72	Customer Service Occupations	0	0
2	81	8	81	Process, Plant And Machine Operatives	0	0
2	82	8	82	Transport And Mobile Machine Drivers And Operatives	0	0
2	91	9	91	Elementary Trades, Plant And Storage Related Occupations	0	0
2	92	9	92	Elementary Administration And Service Occupations	0	0
2	111	11	111	Corporate Managers And Senior Officials	0	0
2	112	11	112	Production Managers	0	0
2	113	11	113	Functional Managers	0	0
2	114	11	114	Quality And Customer Care Managers	0	0
2	115	11	115	Financial Institution And Office Managers	0	0
2	116	11	116	Managers In Distribution, Storage And Retailing	0	0
2	117	11	117	Protective Service Officers	0	0
2	118	11	118	Health And Social Services Managers	0	0
2	121	12	121	Managers In Farming, Horticulture, Forestry And Fishing	0	0
2	122	12	122	Managers And Proprietors In Hospitality And Leisure Services	0	0
2	123	12	123	Managers And Proprietors In Other Service Industries	0	0
2	211	21	211	Science Professionals	0	0
2	212	21	212	Engineering Professionals	0	0
2	213	21	213	Information And Communication Technology Professionals	0	0
2	221	22	221	Health Professionals	0	0
2	231	23	231	Teaching Professionals	0	0
2	232	23	232	Research Professionals	0	0
2	241	24	241	Legal Professionals	0	0
2	242	24	242	Business And Statistical Professionals	0	0
2	243	24	243	Architects, Town Planners, Surveyors	0	0
2	244	24	244	Public Service Professionals	0	0
2	245	24	245	Librarians And Related Professionals	0	0
2	311	31	311	Science And Engineering Technicians	0	0
2	312	31	312	Draughtspersons And Building Inspectors	0	0
2	313	31	313	IT Service Delivery Occupations	0	0
2	321	32	321	Health Associate Professionals	0	0
2	322	32	322	Therapists	0	0
2	323	32	323	Social Welfare Associate Professionals	0	0
2	331	33	331	Protective Service Occupations	0	0
2	341	34	341	Artistic And Literary Occupations	0	0
2	342	34	342	Design Associate Professionals	0	0
2	343	34	343	Media Associate Professionals	0	0
2	344	34	344	Sports And Fitness Occupations	0	0
2	351	35	351	Transport Associate Professionals	0	0
2	352	35	352	Legal Associate Professionals	0	0
2	353	35	353	Business And Finance Associate Professionals	0	0
2	354	35	354	Sales And Related Associate Professionals	0	0
2	355	35	355	Conservation Associate Professionals	0	0
2	356	35	356	Public Service And Other Associate Professionals	0	0
2	411	41	411	Administrative Occupations: Government And Related Organisations	0	0
2	412	41	412	Administrative Occupations: Finance	0	0
2	413	41	413	Administrative Occupations: Records	0	0
2	414	41	414	Administrative Occupations: Communications	0	0
2	415	41	415	Administrative Occupations: General	0	0
2	421	42	421	Secretarial And Related Occupations	0	0
2	511	51	511	Agricultural Trades	0	0
2	521	52	521	Metal Forming, Welding And Related Trades	0	0
2	522	52	522	Metal Machining, Fitting And Instrument Making Trades	0	0
2	523	52	523	Vehicle Trades	0	0
2	524	52	524	Electrical Trades	0	0
2	531	53	531	Construction Trades	0	0
2	532	53	532	Building Trades	0	0
2	541	54	541	Textiles And Garments Trades	0	0
2	542	54	542	Printing Trades	0	0
2	543	54	543	Food Preparation Trades	0	0
2	549	54	549	Skilled Trades n.e.c.	0	0
2	611	61	611	Healthcare And Related Personal Services	0	0
2	612	61	612	Childcare And Related Personal Services	0	0
2	613	61	613	Animal Care Services	0	0
2	621	62	621	Leisure And Travel Service Occupations	0	0
2	622	62	622	Hairdressers And Related Occupations	0	0
2	623	62	623	Housekeeping Occupations	0	0
2	629	62	629	Personal Services Occupations n.e.c.	0	0
2	711	71	711	Sales Assistants And Retail Cashiers	0	0
2	712	71	712	Sales Related Occupations	0	0
2	721	72	721	Customer Service Occupations	0	0
2	811	81	811	Process Operatives	0	0
2	812	81	812	Plant And Machine Operatives	0	0
2	813	81	813	Assemblers And Routine Operatives	0	0
2	814	81	814	Construction Operatives	0	0
2	821	82	821	Transport Drivers And Operatives	0	0
2	822	82	822	Mobile Machine Drivers And Operatives	0	0
2	911	91	911	Elementary Agricultural Occupations	0	0
2	912	91	912	Elementary Construction Occupations	0	0
2	913	91	913	Elementary Process Plant Occupations	0	0
2	914	91	914	Elementary Goods Storage Occupations	0	0
2	921	92	921	Elementary Administration Occupations	0	0
2	922	92	922	Elementary Personal Services Occupations	0	0
2	923	92	923	Elementary Cleaning Occupations	0	0
2	924	92	924	Elementary Security Occupations	0	0
2	925	92	925	Elementary Sales Occupations	0	0
2	1111	111	1111	Senior officials in national government	0	0
2	1112	111	1112	Directors and chief executives of major organisations	0	0
2	1113	111	1113	Senior officials in local government	0	0
2	1114	111	1114	Senior officials of special interest organisations	0	0
2	1121	112	1121	Production, works and maintenance managers	0	0
2	1122	112	1122	Managers in construction	0	0
2	1123	112	1123	Managers in mining and energy	0	0
2	1131	113	1131	Financial managers and chartered secretaries	0	0
2	1132	113	1132	Marketing and sales managers	0	0
2	1133	113	1133	Purchasing managers	0	0
2	1134	113	1134	Advertising and public relations managers	0	0
2	1135	113	1135	Personnel, training and industrial relations managers	0	0
2	1136	113	1136	Information and communication technology managers	0	0
2	1137	113	1137	Research and development managers	0	0
2	1141	114	1141	Quality assurance managers	0	0
2	1142	114	1142	Customer care managers	0	0
2	1151	115	1151	Financial institution managers	0	0
2	1152	115	1152	Office managers	0	0
2	1161	116	1161	Transport and distribution managers	0	0
